EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
GRAY TELEVISION INC;43196;TELEVISION BROADCASTING STATIONS [4833];2016;0.411;;62273000;;105691000;;36992000;;;62273000;;;;389000;5056000;234139000;;;;;61912000;812465000;43418000;1830000;578326000;61912000;;62273000;-698000;105691000;;;;
Gas tural Inc.;43350;TURAL GAS DISTRIBUTION [4924];2016;;;513000;;-182000;;-75000;;;513000;;;0;;;3052000;;42924000;;-12000;513000;99441000;-707000;17000;39872000;513000;;513000;;;;;;
Halliburton Company;45012;OIL, GAS FIELD SERVICES, NBC [1389];2016;0.244;;;;;;;-91000000;-6000000;;;;;;;;;;;-2000000;;;-1858000000;;;;-6000000;;;;;;;
American Airlines Group Inc.;6201;AIR TRANSPORTATION, SCHEDULED [4512];2016;0.38;;;;;;1.51E+12;-351000000;;;;;;;63000000;;;;;;;;1623000000;34000000;;;;;;;;;;
HARSCO CORP;45876;FABRICATED STRUCTURAL METAL PRODUCTS [3440];2016;-0.084;;-85667000;;-79471000;;-27815000;-93614000;3334000;-85667000;1387754000;;5686000;;-355000;63469000;;;;669000;-173367000;1451223000;6637000;0;;-176701000;5914000;-79753000;;-79471000;;;;759120000
HARTFORD LIFE INSURANCE CO;45947;LIFE INSURANCE [6311];2016;;;282000000;;356000000;;1.25E+08;129000000;0;282000000;;;;;;;;;;;411000000;;74000000;;472000000;411000000;0;282000000;;356000000;;;;
HASBRO INC;46080;GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES) [3944];2016;0.23;;;;692489000;;;52000;-18229000;551380000;;;;;;788048000;;;;;484582000;;159338000;;;502811000;-18229000;533151000;;;;;;1905474000
ALLIED MOTION TECHNOLOGIES INC;46129;INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGLS [3825];2016;0.291;;9078000;;12803000;;;;;;;;;;;18883000;;73004000;;;6952000;;3725000;;54121000;6952000;;9078000;;12803000;;;;172889000
BANK OF HAWAII CORP;46195;STATE COMMERCIAL BANKS [6022];2016;0.301;;181461000;;259594000;;;;;181461000;;;;;;;;;;;171112000;457900000;78133000;;;171112000;;181461000;;;;;;
HERSHEY CO;47111;SUGAR & CONFECTIONERY PRODUCTS [2060];2016;0.345;;720044000;;1099481000;;;-8527000;-3664000;720044000;;;;;;1205783000;;;;;711517000;;379437000;;;715181000;-3970000;720044000;;;;;;
HollyFrontier Corp;48039;PETROLEUM REFINING [2911];2016;-0.113;;-261456000;;-171534000;;-60037000;14709000;69450000;-260453000;;;14213000;;-14056000;-99887000;;;;;-176236000;68900000;19411000;;1018839000;-245686000;69508000;-190945000;;;;;;
HNI CORP;48287;OFFICE FURNITURE (NO WOOD) [2522];2016;;;85577000;;128911000;;45098000;186000;61000;85577000;;;;;3874000;133692000;;835013000;;;85824000;;43273000;;;85763000;61000;85638000;117000;128911000;;;;1368476000
CENTERPOINT ENERGY HOUSTON ELECTRIC LLC;48732;ELECTRIC SERVICES [4911];2016;0.35;;276000000;-76000000;425000000;;1.49E+08;;;276000000;;;;-12000000;12000000;627000000;;;;;277000000;;149000000;;;277000000;;276000000;;;;;;
HUBBELL INCORPORATED;48898;ELECTRONIC COMPONENTS & ACCESSORIES [3670];2016;0.308;;293000000;;430400000;;;-78300000;4800000;293000000;;;;;;477800000;;1100700000;;;219500000;;132600000;;;214700000;4800000;297800000;;430400000;;;;
AMERICAN ELECTRIC POWER CO INC;4904;ELECTRIC SERVICES [4911];2016;-0.134784199;;610900000;;475600000;;191400000;-29200000;7100000;;;;71200000;-4100000;;1207100000;;;;-2500000;588800000;;-73700000;;;581700000;7100000;618000000;;475600000;;;;
HUMA INC;49071;HOSPITAL & MEDICAL SERVICE PLANS [6324];2016;;;614000000;;1552000000;;5.43E+08;;;614000000;;;;;41000000;1741000000;;;;;490000000;;938000000;;;490000000;;614000000;;1552000000;;;;
HUNTINGTON BANCSHARES INC/MD;49196;TIOL COMMERCIAL BANKS [6021];2016;;;646547000;;919762000;;321925000;-174858000;;711821000;;;;;4936000;;;;;;536963000;;207941000;;;;;711821000;;919762000;;;;
ID SYSTEMS INC;49615;COMMUNICATIONS EQUIPMENT, NEC [3669];2016;;;;;-6370000;;-2166000;;;-6370000;;;;;-848000;-6368000;;18294000;;;-5973000;36822000;;;24662000;-5973000;;-6370000;;;;;;4492000
AMERICAN EXPRESS CO;4962;FINCE SERVICES [6199];2016;0.332;;;;;;;-250000000;;;;3.20E+09;;;;;;;;;;;;;;;;;;;;;;
AMERICAN EXPRESS CREDIT CORPORATION;4969;SHORT-TERM BUSINESS CREDIT INSTITUTIONS [6153];2016;0.071;;;;212000000;;;-107000000;;197000000;506000000;1.70E+09;;;;;;;;;90000000;718000000;15000000;;;90000000;;197000000;;212000000;;;;
DineEquity  Inc.;49754;RETAIL-EATING PLACES [5812];2016;0.36;;96605000;;153122000;;;;;97992000;;;;;;;;379418000;;;97992000;634000000;55130000;;;97992000;;97992000;;153122000;;;;254555000
AFLAC INC;4977;ACCIDENT & HEALTH INSURANCE [6321];2016;;;;;;;1.42E+12;2005000000;;;;;;6000000;;;;;;;;;1408000000;8000000;;;;;;;;;;
ILLINOIS TOOL WORKS INC;49826;GENERAL INDUSTRIAL MACHINERY & EQUIPMENT [3560];2016;0.3;;;;;;;;;;;;61000000;;;;;;;0;1732000000;;873000000;;;;;2035000000;;;;;;
IMPERIAL OIL LTD;49938;PETROLEUM REFINING [2911];2016;;;;;;;;;;;;;;;;;;;;;2096000000;;279000000;;;2096000000;;;;;;;;
TESORO CORP /NEW/;50104;PETROLEUM REFINING [2911];2016;;;;;1277000000;;4.47E+08;-39000000;126000000;734000000;;;13000000;0;45000000;1481000000;;;;10000000;821000000;;427000000;;;695000000;126000000;860000000;;;;;;
Intel Corporation;50863;SEMICONDUCTORS & RELATED DEVICES [3674];2016;0.203;;;;;;;46000000;;;;;-38000000;;;;;;;;;;;;;;;;;;;;;
INTERTIOL BUSINESS MACHINES CORP;51143;COMPUTER & OFFICE EQUIPMENT [3570];2016;0.04;;;;;;;209000000;;;;;;;;;;;;-9000000;;;449000000;;;;;;;;;;;
INTERTIOL FLAVORS & FRAGRANCES INC;51253;INDUSTRIAL ORGANIC CHEMICALS [2860];2016;0.227;;405031000;;523717000;;;;;405031000;;;;;;567356000;;1399070000;;;338376000;;118686000;;;338376000;;405031000;;523717000;;;;1717280000
INTERTIOL PAPER CO /NEW/;51434;PAPER MILLS [2621];2016;0.26;28000000;904000000;;956000000;;3.35E+08;344000000;2000000;904000000;;-2.70E+07;198000000;5000000;15000000;;;;;-5000000;1246000000;;247000000;9000000;;1250000000;-2000000;902000000;;956000000;;;;
INTERTIOL SPEEDWAY CORP;51548;SERVICES-RACING, INCLUDING TRACK OPERATION [7948];2016;0.385;;76338000;;;;;;;76338000;551189000;;14913000;;;109827000;;;;;77002000;663166000;47731000;;;77002000;;76338000;;;;;;
AMERICAN INTERTIOL GROUP INC;5272;FIRE, MARINE & CASUALTY INSURANCE [6331];2016;-2.5;;-849000000;;-74000000;;-5.60E+07;693000000;500000000;-849000000;;2.34E+08;;;23000000;;;;;-90000000;344000000;;185000000;;;-156000000;;-349000000;268000000;;;;;
ANIXTER INTERTIOL INC;52795;WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES [5063];2016;;;120500000;;197500000;;69100000;;;120500000;;;;;;285300000;;1548000000;;-600000;100100000;;76400000;;1262700000;100100000;;120500000;;;;;;
RAYONIER INC.;52827;REAL ESTATE INVESTMENT TRUSTS [6798];2016;;;211972000;;222834000;;77992000;34677000;9555000;211972000;532501000;-1098000;;-2936000;;255777000;;;;0;252447000;788278000;5064000;;;242892000;5798000;217770000;;;;;;524707000
KAMAN CORPORATION;54381;WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES [5080];2016;;;58854000;;89704000;;31396000;;;58854000;;;;608000;999000;105923000;;549092000;;0;42599000;1808376000;30850000;;;42599000;;58854000;;;2153000;;;1259284000
KANSAS CITY SOUTHERN;54480;RAILROADS, LINE-HAUL OPERATING [4011];2016;0.276;;477900000;;662700000;;231900000;-1500000;1800000;478100000;;-17400000;14600000;;8100000;818500000;;;;;478400000;;182800000;;1515700000;476600000;1800000;479900000;;;;;;
WESTAR ENERGY INC /KS\n;54507;ELECTRIC & OTHER SERVICES COMBINED [4931];2016;0.338;;;;545740000;;;;;346577000;1880204000;;;;;681883000;;;;;;;184540000;;;;14623000;361200000;;;;;;
KELLOGG CO;55067;GRAIN MILL PRODUCTS [2040];2016;0.252;;;;927000000;;;-199000000;;694000000;;;1000000;;;1395000000;;;;;496000000;;233000000;;;495000000;1000000;695000000;;927000000;;;;
Kelly Services Inc;55135;SERVICES-HELP SUPPLY SERVICES [7363];2016;;17000000;120800000;;149700000;;52400000;-2000000;;120800000;;4.00E+05;1100000;;2900000;63200000;;906300000;;;118800000;;30000000;;;118800000;;120800000;;149700000;;;;
Unum Group;5513;ACCIDENT & HEALTH INSURANCE [6321];2016;0.309;;;;1347700000;;;-67100000;;931400000;;;;;;;;;;;864300000;;416300000;;;864300000;;931400000;;1347700000;;;;
KIMBERLY CLARK CORP;55785;CONVERTED PAPER & PAPERBOARD PRODS (NO CONTAINERS/BOXES) [2670];2016;0.306;;;;;;;-205000000;44000000;;;;132000000;;;;;;;0;2014000000;;922000000;;;1970000000;53000000;;;;;;;
KIRBY CORP;56047;WATER TRANSPORTATION [4400];2016;0.373;;140407000;;227746000;;;-6321000;;141406000;1525478000;;532000;;;245195000;;;;;136483000;1770673000;84942000;;;135085000;1398000;142804000;;227746000;;;;
KROGER CO;56873;RETAIL-GROCERY STORES [5411];2016;0.328;;1975000000;;;;;;-18000000;1975000000;;;;;;;;;;;1922000000;;957000000;;;1940000000;-18000000;1957000000;;;;;;
SNYDER'S-LANCE  INC.;57528;COOKIES & CRACKERS [2052];2016;0.377;;41985000;;67123000;;;-17347000;-182000;14885000;;;;;;104485000;;763790000;;-27100000;-2644000;;25320000;;;-2462000;-182000;14703000;;;;;;1345437000
