EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
MAGELLAN PETROLEUM CORP /DE/;61398;CRUDE PETROLEUM & TURAL GAS [1311];2015;0;;-44740000;;-43411000;;-14620000;7311000;;-43000000;;908000;;-303000;-1005000;-30296000;;;;0;-36100000;4459000;0;;34755000;-36100000;-411000;-43411000;;-43411000;;;;
MANITOWOC CO INC;61986;CONSTRUCTION MACHINERY & EQUIP [3531];2014;0.051;;144500000;;169400000;;;-123600000;3900000;;;;0;;;298800000;;;;-11000000;24800000;;8600000;;;20900000;3900000;148400000;;169400000;;;;
MARCUS CORP;62234;HOTELS & MOTELS [7011];2015;0.395;;;;39320000;;;-754000;-353000;23995000;437873000;;-186000;;;50194000;;;;;22888000;488067000;15678000;;;23241000;-353000;23642000;;;;;;
MARSH & MCLENN COMPANIES  INC.;62709;INSURANCE AGENTS BROKERS & SERVICES [6411];2014;0.285;;1465000000;;2057000000;;;-1226000000;32000000;1465000000;;;;;;;;;;26000000;271000000;;586000000;;;239000000;32000000;1497000000;;2057000000;;;;
ALOGIC CORP;6284;INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGLS [3825];2015;0.18;;;;41033000;;2900000;-12311000;;33481000;;;;1000000;;40599000;;229487000;;;21170000;540291000;7552000;;188888000;21170000;;33481000;;41033000;;;;302974000
MASCO CORP /DE/;62996;MILLWOOD, VENEER, PLYWOOD & STRUCTURAL WOOD MEMBERS [2430];2014;-0.58;;839000000;;575000000;;;-263000000;10000000;856000000;;;-2000000;;;788000000;;;;-2000000;640000000;;-333000000;;;630000000;47000000;903000000;;;;;;
MATTHEWS INTERTIOL CORP;63296;NONFERROUS FOUNDRIES (CASTINGS) [3360];2015;0.294;;63439000;;89652000;;;-83659000;;63449000;;;;;;105023000;;529375000;;;-20371000;1426068000;26364000;;;;-161000;63288000;;89652000;;;;896693000
MCCORMICK & CO INC;63754;MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS [2090];2014;0.263;;437900000;;554400000;;;-186200000;;437900000;;;29400000;;;603000000;;1730200000;;;254200000;;145900000;;;254200000;-2500000;437900000;;554400000;;;;
MCDOLDS CORP;63908;RETAIL-EATING PLACES [5812];2014;0.355;;;;;;;-1947300000;;;;;-8900000;;;;;;;;;;;;;;;;;;;;;
MECHANICAL TECHNOLOGY INC;64463;MEASURING & CONTROLLING DEVICES, NEC [3829];2014;-0.06;;740000;;700000;;;;;740000;;;;;;565000;;;;;;;-40000;;;;;740000;;;;;;3284000
GENCOR INDUSTRIES INC;64472;CONSTRUCTION MACHINERY & EQUIP [3531];2015;-0.487;;;;-3546000;;;;;-1819000;40024000;;;;;-794000;;;;;;;-1727000;;;;;-1819000;;;;;;31724000
MEREDITH CORP;65011;PERIODICALS;2015;0.386;;136791000;;222760000;;;;;136791000;1352064000;;;;;242112000;;;;;132901000;1594176000;85969000;;;132901000;;136791000;;;;;;
METHODE ELECTRONICS INC;65270;ELECTRONIC CONNECTORS [3678];2015;0.164;;;;120800000;;42200000;;-100000;101100000;;-11500000;;;800000;112200000;;218800000;;;68000000;881100000;19800000;;;68100000;-100000;101000000;200000;120800000;;;;662300000
EnviroStar  Inc.;65312;SERVICES-PERSOL SERVICES [7200];2015;0.377;;1671817;;2682748;;912134;;;1671817;;;;1413;97384;2678445;;;;;;30754570;1010931;;28076125;;;1671817;;;;;;22806878
MILLER HERMAN INC;66382;OFFICE FURNITURE [2520];2015;0.326;;;;145200000;;50800000;-18300000;600000;97500000;;-1.00E+06;100000;;4200000;163400000;;791400000;;;79800000;2142200000;47200000;;628000000;79200000;;98100000;0;145200000;;;;1350800000
MSA SAFETY INCORPORATED;66570;ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842];2014;0.323;;88506000;;127195000;;;;-1176000;88506000;1009455000;;;;;;;515349000;;1776000;-1131000;1136650000;41044000;;;45000;-579000;87927000;;127195000;;;;618536000
ALLETE INC;66756;ELECTRIC & OTHER SERVICES COMBINED [4931];2014;0.226;23700000;;;162200000;;56800000;-4000000;700000;124800000;948000000;;19600000;;7200000;188800000;;;;;121500000;1136800000;36700000;;456200000;120800000;700000;125500000;;;;;;
MODINE MANUFACTURING CO;67347;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2015;0.461;;21600000;;41200000;;;-94900000;800000;21800000;;;600000;;;52700000;;246500000;;600000;-72100000;1496400000;19000000;;;-72900000;1000000;22800000;;41200000;;;;1249900000
MDU RESOURCES GROUP INC;67716;MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS) [1400];2014;0.292;;297548000;;411130000;-7367000;143895000;-3898000;;;;;-41000;;10483000;488225000;;;;3177000;290440000;;119969000;;;294335000;-3895000;294338000;;;;;;
MOOG INC.;67887;MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT [3590];2015;0.283;;131883000;;183834000;;;-134897000;;131883000;;-10759000;;;1534000;245513000;;736704000;;;-3014000;;51951000;;;-3014000;;131883000;;;;;;1788828000
APOGEE ENTERPRISES  INC.;6845;GLASS PRODUCTS, MADE OF PURCHASED GLASS [3231];2015;0.223;;50516000;;64999000;;;;;50516000;;;;;;63585000;;208544000;;;41156000;72730000;14483000;;;41156000;;50516000;;;;;;725392000
QWEST CORP;68622;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2014;0.397;;970000000;;1609000000;;;;;;;;;;;2112000000;;;;;;;639000000;;;;;970000000;;;;;;
MTS SYSTEMS CORP;68709;MEASURING & CONTROLLING DEVICES, NEC [3829];2015;0.23;;45462000;;59172000;;;;;45462000;;;;;;61496000;;219613000;;;34061000;563934000;13710000;;158117000;34061000;;45462000;;59172000;;;;344321000
APPLIED MATERIALS INC /DE;6951;SEMICONDUCTORS & RELATED DEVICES [3674];2015;0.138;;1377000000;;1598000000;;;;;1377000000;;;;;;1693000000;;;;;1361000000;;221000000;;;1361000000;;1377000000;;1598000000;;;;
ACTUANT CORP;6955;MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT [3590];2015;0.217;;19872000;;25391000;;;;;19872000;;;;;;53554000;;461841000;;;-125360000;1249254000;5519000;;;-125360000;;19872000;;25391000;;;;787413000
PCO SECURITY TECHNOLOGIES  INC;69633;COMMUNICATIONS EQUIPMENT, NEC [3669];2015;0.043;;4845000;;5061000;;1721000;;;4845000;;1069000;;;21000;5281000;;26047000;;;;77762000;216000;;;;;4845000;;;;;;51715000
tiol Beverage Corp.;69891;BOTTLED & CANNED SOFT DRINKS CARBOTED WATERS [2086];2015;0.34;;49036000;;74713000;;;-2319000;;49311000;;;;;;;;219140000;;;46992000;645825000;25402000;;;46992000;;49311000;;74713000;;;;426685000
FULTON FINCIAL CORP;700564;TIOL COMMERCIAL BANKS [6021];2014;0.25;;157894000;;210500000;;;19619000;;157894000;;;;;;;;;;;177513000;596078000;52606000;;;177513000;;157894000;;210500000;;;;
VICTORY ENERGY CORP;700764;CRUDE PETROLEUM & TURAL GAS [1311];2014;0;;;;-4229137;;;;;-3209932;7120784;;;;;-6425466;;;;;;695318;0;;;;-1019205;-4229137;;-4229137;;;;
MYR GROUP INC.;700923;WATER, SEWER, PIPELINE, COMM AND POWER LINE CONSTRUCTION [1623];2014;0.369;;36267000;;57950000;;;;;36544000;;;;;;58404000;;132414000;;;;943967000;21406000;;;;;36544000;;57950000;;;;811553000
L Brands  Inc.;701985;RETAIL-WOMEN'S CLOTHING STORES [5621];2014;0.363;;1042000000;;1636000000;;;-5000000;;1042000000;;;0;;;1953000000;;;;;1037000000;;594000000;;;1037000000;;1042000000;;;;;;
NORFOLK SOUTHERN CORP;702165;RAILROADS, LINE-HAUL OPERATING [4011];2014;0.36;;;;;;1.10E+12;-17000000;;;;;0;-31000000;88000000;;;;;;1983000000;;1134000000;;;;;2000000000;;;;;;
FIRST MIDWEST BANCORP INC;702325;TIOL COMMERCIAL BANKS [6021];2014;0.31;;68470000;;100476000;;;10937000;;;;;;;;;;;;;80243000;299864000;31170000;;;;;69306000;;100476000;;;;
LAWSON PRODUCTS INC/NEW/DE/;703604;WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES [5080];2014;-0.039;;-4369000;;-5834000;;;;;-4369000;;;;;;-4963000;;172549000;;1479000;-4928000;285693000;227000;;177512000;-4928000;;-4369000;;-5834000;;;;113144000
TRECORA RESOURCES;7039;PETROLEUM REFINING [2911];2014;0.35;;;;22718000;;7952000;366000;;15571000;;;-1072000;;181000;25482000;;45743000;;;15937000;289643000;7147000;;;;0;15571000;;;;;;243900000
LEGG MASON  INC.\n;704051;INVESTMENT ADVICE [6282];2015;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP STRATEGIES CORP;70415;SERVICES-EDUCATIOL SERVICES [8200];2014;0.367;;27098000;;42823000;;;;;27098000;;;;;;43859000;;89575000;;;21315000;501867000;15725000;;;21315000;;27098000;;42823000;;;;412292000
SOUTHSIDE BANCSHARES INC;705432;STATE COMMERCIAL BANKS [6022];2014;-0.116;;20833000;;18669000;;6348000;5467000;;20833000;;;;;146000;;;;;;26300000;123778000;-2164000;;;;;20833000;;18669000;;;;
AARON'S INC;706688;SERVICES-EQUIPMENT RENTAL & LEASING, NEC [7359];2014;0.357;;78233000;;121704000;;;-26000;;78233000;;;;;;139843000;;;;;78207000;;43471000;;1262007000;78207000;;78233000;;121704000;;;;
Old tiol Bancorp /IN/;707179;TIOL COMMERCIAL BANKS [6021];2014;0.27;;103667000;;141964000;;49688000;12911000;;103667000;;;;;2676000;;;;;;116578000;389729000;38297000;;;116578000;;103667000;;141964000;;;;
DIGIRAD CORP;707388;ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS [3845];2014;0.024;;;;2537000;;;-17000;;2475000;;;;;;2518000;;16640000;;;2458000;55608000;62000;;14122000;2458000;;2475000;;;;;;38968000
AMERISERV FINCIAL INC /PA/;707605;TIOL COMMERCIAL BANKS [6021];2014;0.346;;2813000;;4621000;;1571000;;;3023000;;;;301000;;;;;;;1996000;40441000;1598000;;;1996000;;3023000;;4621000;;;;
ARCHER DANIELS MIDLAND CO;7084;FATS & OILS [2070];2014;0.28;;;;;;;-1185000000;4000000;;;;372000000;;;;;;;;1068000000;;877000000;;;1064000000;5000000;;;;;;;
BANK OF AMERICA CORP /DE/;70858;TIOL COMMERCIAL BANKS [6021];2014;0.295;950000000;;;;;2.40E+12;;;;;;;;276000000;;;;;;;;2022000000;1982000000;;;;;;;;;;
QUALITY SYSTEMS  INC;708818;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2015;0.234;;27332000;;35664000;;;;;27332000;158035000;;;;;35956000;;267061000;;;27322000;490225000;8332000;;231105000;27322000;;27332000;;35664000;;;;174569000
APPLIED MICRO CIRCUITS CORP;711065;SEMICONDUCTORS & RELATED DEVICES [3674];2015;-0.02;16000;-52058000;;-50966000;;-17838000;-1343000;;-52058000;;;;;-2345000;-50674000;;95714000;;;-53401000;165011000;1092000;;146388000;-53401000;;-52058000;-67000;-50966000;;;;69297000
COOPER COMPANIES INC;711404;OPHTHALMIC GOODS [3851];2015;0.048;;;;215485000;;75400000;-85461000;533000;203523000;;-72600000;;3800000;0;236700000;;1070262000;;;119683000;1797100000;10341000;;;119150000;1621000;205144000;;215485000;;;;726798000
PHOTOMEDEX INC;711665;ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS [3845];2014;0.34;;;;-25431000;;-9349000;-2052000;;-121496000;;-483000;;280000;373000;-21044000;;124922000;;-15155000;-123548000;163541000;36312000;;145966000;-123548000;;-121496000;0;-25431000;;;;38619000
ACCO BRANDS CORP;712034;BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDING & RELATED WORK [2780];2014;0.331;;91600000;;137000000;;47900000;;;91600000;;-8600000;8100000;-600000;2100000;173600000;;529900000;;0;-15400000;1689200000;45400000;;356300000;-15400000;;91600000;;137000000;;;;1159300000
ELECTRONIC ARTS INC.;712515;SERVICES-PREPACKAGED SOFTWARE [7372];2015;0.054;;875000000;;925000000;;;-35000000;;875000000;;;;;;948000000;;;;;840000000;;50000000;;2138000000;840000000;;875000000;;925000000;;;;401000000
FIRST COMMONWEALTH FINCIAL CORP /PA/;712537;TIOL COMMERCIAL BANKS [6021];2014;0.28;134000;44453000;;62133000;;21747000;16089000;;44453000;;;;;;;;;;;60542000;202181000;17680000;;;60542000;;44453000;;62133000;;;;
AMERICAN SOFTWARE INC;713425;SERVICES-PREPACKAGED SOFTWARE [7372];2015;0.22;;8128000;;10402000;;3641000;;;8128000;;;;;269000;9342000;;52414000;;;;102873000;2274000;;43072000;;;8128000;-955000;10402000;;;;50459000
DNB FINCIAL CORP /PA/;713671;TIOL COMMERCIAL BANKS [6021];2014;0.259;;4669000;;6481000;;2203000;;;4804000;;;;21000;;;;;;;5578000;23596000;1677000;;;5578000;;4804000;;6481000;;;;
PNC FINCIAL SERVICES GROUP  INC.;713676;TIOL COMMERCIAL BANKS [6021];2014;0.251;;;;;;;67000000;23000000;;;;441000000;;;;;;237000000;;;;1407000000;;;;23000000;;;;;;;
SORL Auto Parts Inc;714284;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2014;0.1592;;13801030;;18040398;;;;;13801030;;;;;;19842516;2270147;66860997;;;20685669;237654865;2872912;;49288628;18851516;1366456;13801030;;18040398;;;;170793868
DST SYSTEMS INC;714603;SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374];2014;0.251;7900000;593300000;;791700000;;277200000;;;;;-3300000;35400000;;9300000;308900000;;;;;472000000;;198400000;;;472000000;;593300000;-30300000;;;;;
JUNIATA VALLEY FINCIAL CORP;714712;STATE COMMERCIAL BANKS [6022];2014;0.111;575000;4216000;;;;1612000;-538000;;4216000;;;236000;;;;;;;;3678000;16932000;525000;;;3678000;;4216000;;;;;;
YRC Worldwide Inc.;716006;TRUCKING (NO LOCAL) [4213];2014;0.192;;-85800000;;-83800000;;;-117800000;0;-67700000;;;2100000;;;45500000;;;;;-185500000;0;-16100000;;;-185500000;0;-67700000;;;;;;
CINCINTI BELL INC.;716133;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2014;0.432;;65200000;;133000000;;;;;75600000;1162400000;;-7000000;;;115800000;;;10400000;;35000000;1278200000;57400000;;;35000000;;75600000;;;;;;454200000
PENNS WOODS BANCORP INC;716605;STATE COMMERCIAL BANKS [6022];2014;0.2066;737000;14608000;;18412000;;6260000;3227000;;;;;;;;;;;;;17835000;45606000;3804000;;;17835000;;14608000;;18412000;;;;
MICROWAVE FILTER CO INC /NY/;716688;ELECTRONIC COMPONENTS, NEC [3679];2015;-0.01;;-202682;;-204750;;-69615;;;-202682;;;;;0;-199611;;1317116;;;;3541053;-2068;;;;;-202682;;-204750;;;;2223937
NEW YORK TIMES CO;71691;NEWSPAPERS;2014;-0.118;;33307000;;29850000;;10448000;-131785000;-1603000;33307000;1484505000;;-8368000;;4620000;91948000;;;;-1086000;-97877000;1588528000;-3541000;;;-99480000;-1002000;32305000;-21147000;;;;;643995000
Activision Blizzard  Inc.;718877;SERVICES-PREPACKAGED SOFTWARE [7372];2014;0.15;;817000000;;981000000;;3.43E+08;-371000000;;835000000;;-2.45E+08;;;5000000;1183000000;;;;;464000000;;146000000;;;;;835000000;;981000000;;;;
S&T BANCORP INC;719220;STATE COMMERCIAL BANKS [6022];2014;0.232;;57745000;;75425000;;;;;57910000;;;;;;;;;;;56771000;160523000;17515000;;;56771000;;57910000;;75425000;;;;
Inrad Optics  Inc.;719494;ELECTRONIC COMPONENTS, NEC [3679];2014;0;;;;-2514851;;;;;-2514851;12222252;;;;;-2496107;;;;;;9726145;0;;;;;-2514851;;-2514851;;;;8680050
SVB FINCIAL GROUP;719739;STATE COMMERCIAL BANKS [6022];2014;0.397;;263925000;;652477000;;;91468000;;;;;;;;;;;;;570183000;891916000;173762000;;;355393000;214790000;478715000;;;;;;
ARCTIC CAT INC;719866;MISCELLANEOUS TRANSPORTATION EQUIPMENT [3790];2015;0.208;;4920000;;6210000;;;;;4920000;;;;;;6538000;;119449000;;;-112000;;1290000;;112911000;-112000;;4920000;;6210000;;;;579307000
WILLIAMS SONOMA INC;719955;RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES [5700];2014;0.385;;308854000;;502203000;;;;;308854000;;;;;;502265000;;1800504000;;;299782000;;193349000;;;299782000;;308854000;;502203000;;;;
RAYMOND JAMES FINCIAL INC;720005;SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211];2015;0.371;7166000;502140000;;776712000;;279361000;;;502140000;;0;;-4090000;29224000;;;;;;463525000;;296034000;;;463525000;-21462000;480678000;;776712000;;;;
BIOALYTICAL SYSTEMS INC;720154;SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731];2015;0.014;;1099000;;1114000;;;;;1099000;;;;;;909000;;7489000;;;1145000;22698000;15000;;6580000;1145000;;1099000;;1114000;;;;12525000
NON INVASIVE MONITORING SYSTEMS INC /FL/;720762;ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS [3845];2015;0;;-418000;;;;;;;-418000;275000;;;;;-275000;;;;;-417000;0;;;;-417000;;-418000;;;;;;20000
CARDIL HEALTH INC;721371;WHOLESALE-DRUGS PROPRIETARIES & DRUGGISTS' SUNDRIES [5122];2015;0.384;;1215000000;;1967000000;;;;;1215000000;;;;;;;;;;3000000;1122000000;;755000000;;;1122000000;;1215000000;;1967000000;;;;
NOBLE ENERGY INC;72207;CRUDE PETROLEUM & TURAL GAS [1311];2014;0.29;;;;1710000000;;;27000000;;1214000000;;;170000000;;;918000000;;;;0;1241000000;;496000000;;;1241000000;;1214000000;;;;;;
IMMUNOMEDICS INC;722830;IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES [2835];2015;0.001;;-48002366;;-48065742;;;-422929;-121605;-48002366;51872600;;;;;-46219509;;;;;-48546900;5653091;58229;;;-48425295;-121605;-48123971;;;;;;264915
COMMUNITY BANK SYSTEM  INC.;723188;TIOL COMMERCIAL BANKS [6021];2014;0.296;;90897000;;129690000;;;57266000;;91353000;;;;;;;;;;;148619000;256220000;38337000;;226580000;148619000;;91353000;;129690000;;;;
PAYCHEX INC;723531;SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MAGEMENT [8700];2015;0.363;;674900000;;1060000000;;;;;674900000;;;-700000;;;1053600000;;;;;660900000;;385100000;;1686000000;660900000;;674900000;;;;;;
CULP INC;723603;BROADWOVEN FABRIC MILLS, COTTON [2211];2015;0.343;;15071000;;22956000;;;;;15071000;;;;;;22789000;;55567000;;;15036000;310166000;7885000;;;15036000;;15071000;;;;;;254599000
AVIS BUDGET GROUP  INC.;723612;SERVICES-AUTO RENTAL & LEASING (NO DRIVERS) [7510];2014;0.375;;;;392000000;;;-139000000;;;;;0;;;;;;;;106000000;;147000000;;;106000000;;245000000;;392000000;;;;
FRANKLIN FINCIAL SERVICES CORP /PA/;723646;STATE COMMERCIAL BANKS [6022];2014;0.193;;8402000;;10408000;;3539000;;;8402000;;;;;;;;;;;9998000;34794000;;;;9998000;;8402000;;10408000;;;;
Panera Bread Company;724606;RETAIL-EATING PLACES [5812];2014;0.353;;179293000;;277294000;;;;;179293000;;;;;;275943000;;540903000;;;178266000;;98001000;;;178266000;;179293000;;277294000;;;;
Trinity Place Holdings Inc.;724742;RETAIL-FAMILY CLOTHING STORES [5651];2015;-0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
